filename,tree_height_m,dbh_cm,crown_width_m_E,branch_clearance_m_E,crown_height_m_E,crown_width_m_W,branch_clearance_m_W,crown_height_m_W,crown_width_m_N,branch_clearance_m_N,crown_height_m_N,crown_width_m_S,branch_clearance_m_S,crown_height_m_S,V_m3,A_m2,Aproj_m2
162,18.94,18.8,1.53,7.38,9.95,1.25,8.34,11.06,1.29,7.37,9.88,1.55,8.4,11.24,11.47545508,29.34729004,5.434001446
163,18.6,21.56,1.65,8.31,10.93,1.35,7.51,9.7,1.33,8.24,10.67,1.63,7.4,9.96,11.4882627,28.68527985,6.465400219
164,15.22,12.2,1.14,5.73,5.01,1.4,8.22,11.32,1.37,8.17,11.29,1.12,5.75,5.04,12.27447363,43.64549255,3.953623295
165,16.08,16.4,1.77,6.44,8.56,1.48,6.55,8.66,1.35,7.24,9.72,1.24,6.55,8.66,12.31712891,32.4452858,6.355257034
166,17.76,15.89,1.89,5.92,7.98,1.55,8.3,11.09,1.16,7.19,9.53,1.42,8.3,11.09,12.31717383,34.02254868,6.519482136
167,11.58,20.22,1.51,5.5,7.26,1.83,5.69,7.7,1.3,5.69,7.7,1.58,5.16,6.81,12.3505791,30.48504066,6.690216541
168,13.52,16.08,1.9,5.94,7.84,1.55,6.49,8.6,1.44,5.94,7.84,1.18,6.49,8.6,12.71537012,31.90663719,6.15594244
169,17.94,12.26,1.18,9.15,12.4,1.32,9.03,12.24,1.14,8.52,11.6,0.93,9.03,12.24,12.90481445,36.86239243,3.93226862
170,14.56,10.86,1.39,7.5,10.42,1.13,11.31,15.01,1.06,10.89,14.1,1.3,7.31,9.91,13.02321191,45.22791672,3.927235365
171,17.45,16.51,1.21,7.75,10.39,1.42,7.05,9.44,1.54,6.71,8.98,1.56,8.1,10.85,13.18978809,33.46144104,5.64359808
172,13.01,25.04,1.31,5.8,7.21,1.6,5.95,7.78,1.33,5.8,7.21,1.62,5.74,7.41,13.39893555,33.72499084,7.202007771
173,15.04,12.68,1.16,6.73,9.05,1.41,6.67,9.03,1.18,6.9,9.21,1.44,6.49,8.85,13.5152041,34.85957718,5.425569534
174,11.05,14.63,0.99,5.04,6.86,0.81,5.77,8.04,1.08,5.77,8.04,1.31,5.04,6.86,13.54717773,41.60787964,3.473822832
175,18.71,15.5,1.67,7.43,10.08,1.36,9.95,13.02,1.63,7.43,10.08,1.33,9.95,13.02,13.67463574,32.66537094,6.130381584
176,19.44,15.23,1.31,8.54,11.3,1.5,8.08,10.78,1.24,7.44,10.22,1.51,9.21,12.4,14.11554395,38.24659729,4.919599056
177,15.43,10.74,1.53,8.03,11.11,1.28,8.13,11.25,1.45,7.66,10.57,1.2,8.49,11.79,14.24572168,39.04421234,5.416925907
178,18.81,12.96,1.65,8.85,12.02,1.35,8.09,10.96,1.67,9.18,12.43,1.37,7.59,10.34,14.70662109,38.36666489,6.325768948
179,14.38,12.85,1.78,7.11,9.69,1.46,8.02,10.61,1.33,7.33,9.51,1.63,7.8,10.8,14.76927441,50.9254303,5.706928253
180,13.54,10.78,1.31,6.45,8.41,1.6,8.07,11.73,1.25,7.29,10.4,1.02,7.23,9.74,14.82178613,45.45713043,4.856666088
181,12.33,14.47,2.06,5.38,7.13,1.69,5.93,8.04,1.55,5.55,7.52,1.27,5.68,7.68,14.94768457,35.28989792,7.433921814
